Año;Tipo accidente;Frecuencia absoluta;Frecuencia relativa;
2015;Elemento Cortopunzante;105;8,7;
2015;Elemento Contundente;160;13,2;
2015;Caida de Altura;249;20,6;
2015;Caida de su Propia Altura;388;32,1;
2015;Quemadura;127;10,5;
2016;Elemento Cortopunzante;118;6,7;
2016;Elemento Contundente;271;15,4;
2016;Caida de Altura;340;19,3;
2016;Caida de su Propia Altura;638;36,2;
2016;Quemadura;199;11,3;
2017;Elemento Cortopunzante;137;10,0;
2017;Elemento Contundente;128;9,3;
2017;Caida de Altura;256;18,7;
2017;Caida de su Propia Altura;435;31,8;
2017;Quemadura;233;17,0;
2018;Elemento Cortopunzante;90;6,4;
2018;Elemento Contundente;151;10,7;
2018;Caida de Altura;376;26,5;
2018;Caida de su Propia Altura;439;31,0;
2018;Quemadura;210;14,8;
2019;Elemento Cortopunzante;108;3,8;
2019;Elemento Contundente;314;11,1;
2019;Caida de Altura;667;23,5;
2019;Caida de su Propia Altura;950;33,5;
2019;Quemadura;570;20,1;
2020;Elemento Cortopunzante;101;3,8;
2020;Elemento Contundente;256;9,7;
2020;Caida de Altura;733;27,8;
2020;Caida de su Propia Altura;760;28,8;
2020;Quemadura;562;21,3;
2021;Elemento Cortopunzante;138;3,2;
2021;Elemento Contundente;353;8,2;
2021;Caida de Altura;1229;28,5;
2021;Caida de su Propia Altura;1429;33,1;
2021;Quemadura;729;16,9;
2022;Elemento Cortopunzante;114;2,8;
2022;Elemento Contundente;451;11,0;
2022;Caida de Altura;1168;28,5;
2022;Caida de su Propia Altura;1282;31,2;
2022;Quemadura;741;18,1;
2023;Elemento Cortopunzante;169;3,1;
2023;Elemento Contundente;598;10,9;
2023;Caida de Altura;1508;27,5;
2023;Caida de su Propia Altura;1795;32,7;
2023;Quemadura;1058;19,3;
2024;Elemento Cortopunzante; 268 ;3,6;
2024;Elemento Contundente; 998 ;13,5;
2024;Caida de Altura; 2.237 ;30,4;
2024;Caida de su Propia Altura; 2.531 ;34,3;
2024;Quemadura; 1.098 ;14,9;
2025;Elemento Cortopunzante;350;4,0;
2025;Elemento Contundente;1310;15,1;
2025;Caida de Altura;2458;28,3;
2025;Caida de su Propia Altura;3029;34,9;
2025;Quemadura;1229;14,2;
